label,area,perimeter,circularity,aspect_ratio,solidity,eccentricity,mean_intensity_gray,std_dev_intensity_gray,peak_intensity_gray,mean_b,mean_g,mean_r,source_file,source_object_id
Yıldız,9.5,12.242640614509583,0.7964953919549047,0.8,0.95,0.6265766858781231,104.375,64.56573685012818,252.0,108.3125,103.375,104.375,galaksi_galaxy_UGC_4_features.json,66
Yıldız,7.5,12.242640614509583,0.6288121515433458,1.25,0.8823529411764706,0.8295064414140232,37.857142857142854,11.185814631916266,69.0,40.57142857142857,37.5,37.857142857142854,galaksi_galaxy_UGC_4_features.json,68
Yıldız,26.5,20.727921724319458,0.7750758729094964,0.875,0.9298245614035088,0.6077114253307266,48.69444444444444,27.62428424859029,156.0,36.388888888888886,42.55555555555555,65.44444444444444,galaksi_galaxy_UGC_features.json,1
Yıldız,10.0,11.656854152679443,0.9247985466222429,1.25,1.0,0.5773501996194398,47.8125,30.5270755846347,124.0,39.3125,44.9375,56.8125,galaksi_galaxy_UGC_features.json,2
Yıldız,28.0,20.82842707633972,0.811063667623605,0.8571428571428571,0.9824561403508771,0.6028234054346985,65.25641025641025,51.906581742004384,243.0,54.92307692307692,64.76923076923077,70.15384615384615,galaksi_galaxy_UGC_features.json,74
Galaksi,45430.0,2342.390161514282,0.10404809430999787,1.5040322580645162,0.8407280264265821,0.9197399348409216,125.27263520792934,35.094308668198785,252.0,138.29467787114848,122.56742081447965,125.60864037922862,galaksi_galaxy_UGC_features.json,103
Yıldız,844.0,119.39696836471558,0.7439876241112118,0.9444444444444444,0.9477821448624368,0.41284599844434067,67.4765625,73.72370526866332,254.0,170.71540178571428,61.668526785714285,39.481026785714285,galaksi_horsehead_nebula_wide_field_2_features.json,2934
Yıldız,675.0,104.56854128837585,0.7757316969426673,1.096774193548387,0.9493670886075949,0.3893735072761498,61.770833333333336,73.90830643721087,255.0,139.62222222222223,57.0125,41.50138888888889,galaksi_horsehead_nebula_wide_field_2_features.json,3716
Yıldız,57.5,28.727921724319458,0.875526490950081,0.9,0.9745762711864406,0.5709715432682262,93.8169014084507,83.57324692547452,241.0,71.29577464788733,84.0,121.87323943661973,galaksi_horsehead_nebula_wide_field_2_features.json,4659
Yıldız,758.0,131.53910374641418,0.5505151977637506,0.6666666666666666,0.8844807467911319,0.741414068041228,49.52579852579852,58.8933880212192,251.0,25.45085995085995,34.466830466830466,88.27518427518427,galaksi_horsehead_nebula_wide_field_2_features.json,4743
Yıldız,562.5,100.32590067386627,0.702273460244908,0.9333333333333333,0.9236453201970444,0.5968958404476779,63.26732673267327,37.74459708389081,248.0,81.54620462046205,58.71287128712871,65.3003300330033,galaksi_horsehead_nebula_wide_field_4_features.json,74
Yıldız,668.5,105.98275518417358,0.74789540448655,0.8823529411764706,0.9343116701607268,0.4696192563824174,66.63585434173669,30.683422885271057,252.0,86.13305322128852,65.20308123249299,61.98879551820728,galaksi_horsehead_nebula_wide_field_4_features.json,184
Bulutsu,6108.5,677.9381582736969,0.1670183865079429,0.8347107438016529,0.7275488327775131,0.6492153803425658,110.19002189552707,38.735091017088294,255.0,150.46137003440725,109.6152643102909,95.96950265874257,galaksi_horsehead_nebula_wide_field_4_features.json,261
